Image name,Label,X-low,Y-low,X-high,Y-high
13.jpeg,3022,39,280,92,338
13.jpeg,3004,256,98,299,152
13.jpeg,3023,242,304,284,337
13.jpeg,3004,471,114,537,158
13.jpeg,3003,90,44,166,119
13.jpeg,3022,480,66,511,119
13.jpeg,3022,407,156,462,256
13.jpeg,3022,472,345,495,356
13.jpeg,3004,525,116,562,162
13.jpeg,3022,437,10,517,70
13.jpeg,3004,233,23,293,75
13.jpeg,3022,266,169,283,194
13.jpeg,3023,413,66,462,96
13.jpeg,3022,10,130,78,235
13.jpeg,3023,49,161,75,193
13.jpeg,3023,204,152,227,181
13.jpeg,3004,107,152,178,220
13.jpeg,3022,128,279,199,362
13.jpeg,3023,68,312,92,350
14.jpeg,3022,512,17,557,59
14.jpeg,3023,376,107,416,127
14.jpeg,3004,339,257,424,340
14.jpeg,3022,114,199,197,283
14.jpeg,3023,317,60,370,124
15.jpeg,3003,356,42,441,133
15.jpeg,3023,54,236,100,280
15.jpeg,3003,130,358,159,385
15.jpeg,3022,345,159,375,192
15.jpeg,3003,470,131,531,184
15.jpeg,3022,22,151,49,169
15.jpeg,3022,155,218,191,253
15.jpeg,3003,233,202,328,290
15.jpeg,3004,89,154,176,267
15.jpeg,3004,62,191,120,274
15.jpeg,3023,513,154,549,212
15.jpeg,3022,78,259,80,345
15.jpeg,3023,21,251,40,281
15.jpeg,3004,162,0,220,40
15.jpeg,3004,305,23,359,96
15.jpeg,3003,77,142,146,215
15.jpeg,3004,398,121,413,139
15.jpeg,3004,135,9,187,80
15.jpeg,3004,539,20,580,75
15.jpeg,3022,56,113,85,144
16.jpeg,3023,340,82,364,125
16.jpeg,3003,106,71,165,129
16.jpeg,3004,199,65,240,108
16.jpeg,3022,381,138,412,170
16.jpeg,3003,455,111,525,181
16.jpeg,3023,447,118,470,147
16.jpeg,3022,161,107,176,152
16.jpeg,3023,440,198,510,224
16.jpeg,3003,229,36,270,77
16.jpeg,3022,464,248,548,294
16.jpeg,3022,127,68,203,152
16.jpeg,3022,164,70,230,138
16.jpeg,3023,9,249,27,273
16.jpeg,3003,25,291,115,380
16.jpeg,3022,453,86,516,130
16.jpeg,3023,208,319,278,374
16.jpeg,3003,40,200,121,280
16.jpeg,3022,509,232,524,253
16.jpeg,3022,28,133,101,203
16.jpeg,3023,217,282,251,314
16.jpeg,3003,253,234,302,282
16.jpeg,3004,281,205,296,228
16.jpeg,3004,67,107,113,152
16.jpeg,3004,31,203,70,239
16.jpeg,3004,500,178,555,217
16.jpeg,3004,243,60,268,89
16.jpeg,3022,167,283,195,330
16.jpeg,3023,306,227,385,279
16.jpeg,3022,412,303,461,334
17.jpeg,3003,462,273,540,349
17.jpeg,3022,562,88,585,113
17.jpeg,3003,193,260,265,342
17.jpeg,3022,389,229,441,272
17.jpeg,3023,72,225,101,267
17.jpeg,3003,518,172,546,199
17.jpeg,3003,217,98,256,140
17.jpeg,3023,473,306,502,334
17.jpeg,3023,509,282,552,317
17.jpeg,3022,32,88,61,117
17.jpeg,3023,500,300,547,338
17.jpeg,3003,70,14,119,64
17.jpeg,3004,317,355,345,388
17.jpeg,3022,468,9,547,63
17.jpeg,3003,102,149,148,200
18.jpeg,3023,102,103,158,151
18.jpeg,3022,404,11,503,103
18.jpeg,3004,478,159,562,224
18.jpeg,3023,501,244,562,313
18.jpeg,3023,16,180,77,229
18.jpeg,3003,358,64,410,116
18.jpeg,3003,142,152,174,189
18.jpeg,3022,453,151,533,211
18.jpeg,3004,15,205,98,268
18.jpeg,3023,44,17,84,84
19.jpeg,3004,370,233,435,279
19.jpeg,3003,509,319,543,351
19.jpeg,3004,170,201,282,285
19.jpeg,3023,143,59,267,146
19.jpeg,3022,184,283,240,378
19.jpeg,3004,503,31,526,50
19.jpeg,3004,92,220,145,287
19.jpeg,3022,265,211,267,260
19.jpeg,3003,29,128,83,179
19.jpeg,3023,206,302,274,356
19.jpeg,3004,379,151,457,199
19.jpeg,3023,115,77,262,175
19.jpeg,3004,128,123,174,158
19.jpeg,3023,202,239,260,277
19.jpeg,3003,175,190,274,293
19.jpeg,3022,133,166,187,215
19.jpeg,3023,200,191,226,230
19.jpeg,3023,434,167,474,206
19.jpeg,3004,59,283,124,324
19.jpeg,3003,310,270,362,317
19.jpeg,3023,35,50,90,104
19.jpeg,3003,377,295,433,342
20.jpeg,3023,148,6,174,31
20.jpeg,3023,288,200,319,226
20.jpeg,3022,160,123,182,142
20.jpeg,3022,167,315,203,378
20.jpeg,3003,360,0,441,87
20.jpeg,3003,111,93,192,159
20.jpeg,3022,220,41,296,119
20.jpeg,3004,136,159,138,160
20.jpeg,3004,25,267,111,320
20.jpeg,3023,346,147,407,194
20.jpeg,3004,389,106,469,162
20.jpeg,3004,250,280,287,322
20.jpeg,3022,382,174,443,213
20.jpeg,3003,399,114,419,140
20.jpeg,3022,381,91,445,157
20.jpeg,3022,441,53,474,147
20.jpeg,3004,61,154,105,195
20.jpeg,3022,429,290,472,336
20.jpeg,3003,21,8,118,112
20.jpeg,3023,302,110,354,156
20.jpeg,3022,179,177,231,209
20.jpeg,3023,171,250,196,283
20.jpeg,3004,114,283,182,353
20.jpeg,3022,193,244,219,264
20.jpeg,3004,499,242,578,310
20.jpeg,3022,322,98,366,140
20.jpeg,3023,56,235,79,279
20.jpeg,3022,395,75,474,161
20.jpeg,3022,160,210,210,304
20.jpeg,3004,24,10,70,44
20.jpeg,3004,422,34,490,124
20.jpeg,3022,205,323,238,355
20.jpeg,3003,192,40,254,89
20.jpeg,3022,184,359,211,386
20.jpeg,3022,179,264,224,316
20.jpeg,3003,191,326,244,380
20.jpeg,3023,183,309,253,368
20.jpeg,3023,455,93,542,155
20.jpeg,3004,134,136,173,168
20.jpeg,3022,0,53,20,75
20.jpeg,3023,75,47,116,97
20.jpeg,3022,537,89,579,130
20.jpeg,3022,209,115,257,164
20.jpeg,3004,436,158,485,211
20.jpeg,3022,368,65,397,87
20.jpeg,3022,363,274,391,299
20.jpeg,3003,274,320,300,347
20.jpeg,3003,282,161,298,186
21.jpeg,3023,495,17,543,53
21.jpeg,3004,458,53,514,130
21.jpeg,3004,259,158,329,212
21.jpeg,3023,282,290,303,315
21.jpeg,3003,350,260,436,343
21.jpeg,3003,28,132,69,175
21.jpeg,3004,86,98,136,145
21.jpeg,3003,168,101,188,132
21.jpeg,3022,23,234,60,259
21.jpeg,3003,369,112,430,158
21.jpeg,3023,457,15,508,76
21.jpeg,3022,423,67,471,108
21.jpeg,3023,428,23,499,95
21.jpeg,3022,100,280,163,344
21.jpeg,3023,293,92,319,123
21.jpeg,3022,547,323,574,350
21.jpeg,3022,493,262,538,333
21.jpeg,3003,130,38,236,143
21.jpeg,3004,340,167,358,194
21.jpeg,3003,323,114,384,184
21.jpeg,3023,223,70,276,118
21.jpeg,3004,97,307,146,333
21.jpeg,3022,242,52,272,84
21.jpeg,3004,523,94,559,126
21.jpeg,3022,191,223,232,255
21.jpeg,3003,169,99,215,150
21.jpeg,3023,351,111,407,145
21.jpeg,3004,14,62,68,153
21.jpeg,3023,243,250,298,294
21.jpeg,3022,259,5,306,81
21.jpeg,3022,402,242,423,258
21.jpeg,3023,314,245,367,273
21.jpeg,3003,258,128,285,149
21.jpeg,3022,153,189,208,270
21.jpeg,3004,207,129,253,170
21.jpeg,3004,460,87,482,109
22.jpeg,3004,137,70,183,103
22.jpeg,3022,52,241,125,302
22.jpeg,3022,236,219,283,265
22.jpeg,3004,349,61,386,99
22.jpeg,3023,93,303,111,327
22.jpeg,3022,45,101,84,140
22.jpeg,3023,335,251,372,331
22.jpeg,3022,280,131,329,182
22.jpeg,3022,529,73,585,110
22.jpeg,3023,54,192,108,241
22.jpeg,3004,397,15,462,65
22.jpeg,3003,314,90,395,173
22.jpeg,3004,496,10,561,59
22.jpeg,3023,244,3,267,19
22.jpeg,3022,304,115,377,185
22.jpeg,3023,113,343,154,380
22.jpeg,3022,423,187,463,218
22.jpeg,3023,5,235,26,270
22.jpeg,3022,330,10,394,57
22.jpeg,3023,23,108,35,123
22.jpeg,3022,149,236,220,304
22.jpeg,3004,151,54,198,99
22.jpeg,3023,219,205,285,271
22.jpeg,3003,56,161,136,245
22.jpeg,3022,27,225,54,246
22.jpeg,3023,350,163,385,217
22.jpeg,3003,176,21,197,43
22.jpeg,3023,485,23,561,80
22.jpeg,3004,506,347,530,369
22.jpeg,3004,225,319,260,378
22.jpeg,3004,69,315,114,355
23.jpeg,3004,349,144,411,231
23.jpeg,3023,202,292,247,348
23.jpeg,3004,79,23,116,49
23.jpeg,3023,413,155,467,209
23.jpeg,3023,178,47,205,66
23.jpeg,3022,493,265,554,315
23.jpeg,3023,147,100,193,133
24.jpeg,3023,357,11,376,30
24.jpeg,3022,58,285,133,340
24.jpeg,3022,308,213,368,253
24.jpeg,3003,89,215,178,292
24.jpeg,3004,252,169,291,209
24.jpeg,3022,136,130,182,163
24.jpeg,3003,372,32,444,111
24.jpeg,3004,28,212,67,265
24.jpeg,3003,125,96,187,147
24.jpeg,3022,229,277,267,309
24.jpeg,3004,435,276,468,300
24.jpeg,3003,414,96,483,173
24.jpeg,3003,11,152,84,253
24.jpeg,3022,144,230,203,290
24.jpeg,3004,493,245,552,334
24.jpeg,3022,407,116,461,171
24.jpeg,3004,175,40,250,94
24.jpeg,3004,0,302,43,341
24.jpeg,3003,421,246,514,332
24.jpeg,3004,248,141,277,168
24.jpeg,3023,341,205,369,227
24.jpeg,3004,244,4,266,23
24.jpeg,3023,367,1,392,20
24.jpeg,3004,295,27,379,112
24.jpeg,3003,77,115,130,164
24.jpeg,3004,24,184,47,208
24.jpeg,3004,454,49,492,78
24.jpeg,3023,96,222,160,260
24.jpeg,3023,150,286,175,320
24.jpeg,3004,364,248,395,284
24.jpeg,3023,182,48,215,100
24.jpeg,3003,212,38,305,144
24.jpeg,3003,327,325,349,350
24.jpeg,3003,494,276,563,348
24.jpeg,3022,424,307,453,330
24.jpeg,3023,272,73,307,152
24.jpeg,3004,90,53,116,71
24.jpeg,3023,142,63,205,131
24.jpeg,3023,253,16,268,44
24.jpeg,3004,263,228,304,258
25.jpeg,3004,3,250,58,312
25.jpeg,3023,248,84,281,105
25.jpeg,3004,27,82,46,100
25.jpeg,3004,470,222,518,258
25.jpeg,3003,339,109,434,205
25.jpeg,3003,180,273,236,327
25.jpeg,3003,321,245,357,279
25.jpeg,3003,524,273,563,333
25.jpeg,3004,418,96,445,134
25.jpeg,3023,202,216,273,258
25.jpeg,3023,563,294,585,307
25.jpeg,3022,159,2,243,61
25.jpeg,3004,431,6,486,46
25.jpeg,3003,176,92,265,187
25.jpeg,3003,431,211,489,282
25.jpeg,3003,260,32,352,123
25.jpeg,3022,407,245,478,300
25.jpeg,3022,148,21,199,47
25.jpeg,3023,379,300,400,309
25.jpeg,3003,317,170,399,249
25.jpeg,3003,17,201,56,245
25.jpeg,3003,302,309,368,359
25.jpeg,3023,179,119,202,141
25.jpeg,3003,77,260,136,319
25.jpeg,3004,464,231,527,303
25.jpeg,3003,82,332,108,358
25.jpeg,3003,16,21,53,74
25.jpeg,3004,356,184,378,211
25.jpeg,3023,78,85,148,137
25.jpeg,3023,512,35,538,81
25.jpeg,3023,332,120,398,182
25.jpeg,3004,315,242,341,265
25.jpeg,3023,330,207,380,281
25.jpeg,3004,241,30,311,102
25.jpeg,3023,439,44,473,69
26.jpeg,3023,326,307,367,361
26.jpeg,3023,17,205,50,224
26.jpeg,3022,244,288,268,322
26.jpeg,3004,493,324,513,348
26.jpeg,3004,432,224,481,270
26.jpeg,3023,302,302,364,326
26.jpeg,3022,569,18,585,36
26.jpeg,3004,134,128,189,182
26.jpeg,3022,342,373,362,385
26.jpeg,3022,9,262,78,311
26.jpeg,3003,42,204,127,288
26.jpeg,3023,98,30,117,45
26.jpeg,3023,179,146,206,168
26.jpeg,3003,117,153,192,232
26.jpeg,3022,385,220,429,260
26.jpeg,3003,328,230,400,308
26.jpeg,3004,171,17,238,83
26.jpeg,3023,15,320,53,356
26.jpeg,3022,205,51,269,111
26.jpeg,3003,505,299,576,353
26.jpeg,3023,64,191,133,242
26.jpeg,3004,71,82,96,102
26.jpeg,3022,148,216,186,258
26.jpeg,3023,463,335,490,368
26.jpeg,3022,294,96,328,144
26.jpeg,3023,352,189,369,201
26.jpeg,3003,403,103,471,176
26.jpeg,3004,306,16,375,103
26.jpeg,3003,220,119,277,185
26.jpeg,3004,86,111,144,193
26.jpeg,3023,103,12,137,82
26.jpeg,3003,375,320,445,394
26.jpeg,3023,106,158,129,193
26.jpeg,3004,542,184,587,229
26.jpeg,3003,184,107,244,172
26.jpeg,3003,12,81,75,136
26.jpeg,3004,193,271,207,288
26.jpeg,3022,338,258,411,351
26.jpeg,3023,404,129,424,141
26.jpeg,3022,434,282,492,329
26.jpeg,3022,141,78,165,96
26.jpeg,3023,21,297,99,345
26.jpeg,3023,70,59,152,104
26.jpeg,3003,168,200,206,256
26.jpeg,3023,263,67,294,96
26.jpeg,3003,493,242,545,283
26.jpeg,3004,65,94,92,117
27.jpeg,3004,530,67,560,89
27.jpeg,3023,385,66,422,104
27.jpeg,3023,252,296,295,328
27.jpeg,3004,42,83,68,115
27.jpeg,3022,199,56,282,146
27.jpeg,3003,202,222,241,263
27.jpeg,3022,517,79,576,116
27.jpeg,3022,80,194,148,252
27.jpeg,3003,90,207,126,246
27.jpeg,3003,81,231,130,282
27.jpeg,3023,123,21,197,77
27.jpeg,3023,482,328,532,359
27.jpeg,3023,271,252,316,285
28.jpeg,3003,339,115,360,136
28.jpeg,3004,388,272,437,312
28.jpeg,3004,94,130,165,190
28.jpeg,3023,305,255,362,308
28.jpeg,3022,340,261,426,347
28.jpeg,3004,372,74,397,118
28.jpeg,3003,479,159,506,182
28.jpeg,3003,245,358,269,380
28.jpeg,3023,366,200,429,260
28.jpeg,3023,165,63,195,90
28.jpeg,3004,301,125,338,159
28.jpeg,3004,453,245,470,262
28.jpeg,3023,72,304,116,355
29.jpeg,3004,422,222,504,289
29.jpeg,3023,145,9,204,67
29.jpeg,3022,475,27,563,107
29.jpeg,3004,77,63,105,88
29.jpeg,3022,389,233,451,281
29.jpeg,3004,15,278,69,316
29.jpeg,3023,367,83,432,118
29.jpeg,3004,150,52,207,88
29.jpeg,3023,157,257,201,285
29.jpeg,3003,433,105,453,123
29.jpeg,3022,360,220,424,288
29.jpeg,3022,252,140,320,190
29.jpeg,3004,30,121,57,144
29.jpeg,3003,352,2,458,108
29.jpeg,3023,237,15,253,44
29.jpeg,3023,368,45,392,64
29.jpeg,3003,243,174,283,215
29.jpeg,3004,56,22,128,86
29.jpeg,3004,207,42,297,130
29.jpeg,3004,461,9,530,85
29.jpeg,3003,250,286,272,311
29.jpeg,3023,16,297,60,331
29.jpeg,3023,173,61,215,87
29.jpeg,3004,275,216,363,298
29.jpeg,3023,480,268,535,340
29.jpeg,3003,347,63,433,168
29.jpeg,3023,462,291,518,347
29.jpeg,3022,119,48,178,111
30.jpeg,3023,484,205,521,226
30.jpeg,3023,554,204,579,226
30.jpeg,3004,159,92,186,117
30.jpeg,3022,409,129,545,238
30.jpeg,3023,446,135,470,156
30.jpeg,3022,420,290,473,340
30.jpeg,3022,35,262,73,294
30.jpeg,3022,68,127,101,167
30.jpeg,3003,162,9,240,98
30.jpeg,3022,257,158,326,210
30.jpeg,3004,483,288,555,373
30.jpeg,3004,196,81,247,120
